timestamp,reviews,rating,sentiment
2023-10-17 01:05:19,"First of all, if you haven’t used Binance yet make sure to enter the reward coupon MTPDHCLV on the sign up screen to get 40% commission kickback rate. Wonderful... The best trading app ever. Very fast and reliable. God! Your app rock. I mean no change for trading and you can trade so many coin at the same time. Wow! With every update from past 4-5 months, the app has just got sleeker and sleeker. Both buy and sell interface are now on same page to make things more eaiser i recommend this app. The fees are reasonable if you use BNB to cover your fees for trading, Binance cuts fees down 50% if you use BNB, the fees go down more depending on what ""tier"" or level user you are. Pricing is real time, sending and receiving crypto is quick. Their security is incredible, the level of security used to protect the user account is one of the best. They now offer a virtual wallet, and the support team is quick to help if you need them. One recommendations - In trades (center) tab when we click on the open trades icon, the history is out at the top right which isn't quite an ideal position. Do what you've done for futures open orders and order history, just slide right to get the order history. That would be really neat... All bug with new upload are fixed!! Great!!",5,very_good
2023-09-12 03:32:35,"Please Binance sometimes some buyers won’t pay and they’ll mark paid and if we try to appeal you would say CS is reviewing.. If you could try to lower the CS reviewing time, I have traded for the past 12 hours now and the buyer didn’t pay me.. 

I tried to make an appeal so the customer service can help me cancel the trade and I did all the necessary things I was asked to provide while the buyer didn’t do anything and you didn’t even cancel the trade for us.. It’s been more than 12 hours now and still counting please find something to do about this.",5,very_bad
2022-06-15 05:32:29,"On Sunday 12 of June 2020 at about 2:00 pm I was future trading on some crypto currency when suddenly the app froze for about 2 hours, I did all I could to restore the app; checked my network to make sure my network was not the problem ( my network was perfect because all other apps requiring networked service where working perfectly) I even rebooted my phone( iPhone 8 Plus) twice and there was no improvement on the Binance app situation I checke the App Store to see if I needed to update my Binance app( it was up to date) even the website was unaccessible.
And suddenly I received liquidation warnings and notice on all my coins and lost 50$. immediately after the liquidation the app restored perfect as if nothing was initially wrong. And it’s not because I traded badly and don’t even ask if anyone else knew my password (my phone never leaves my hand and my password is so complicated that even I told you, you wouldn’t know how to use it) it’s because your app and website failed me.",3,very_bad
2022-05-05 10:28:24,"Nice Trading App, but with a little P involved which is not all coins are listed here but I MUST CONFESS they are really Legit and their SECURITY LEVELS are 95% then d remaining 5% is up to d customer from disclosing their Account Details to third parties. But for real Binance Really need to Add extra coins and tokens in other to enhance more customer experience. And one more thing Mosy coin or tokens u would love to trade on futures are not traded EXAMPLE:- MANCITY, PSG and every other tokens or coins.

But nevertheless I still rate them HIGHER above any other CRYPTO Market.",5,neutral
2021-10-04 17:36:30,"I have been trying to verify my identity over time now and it's returning ""Verification Failed"". I used my voter's card it didn't work, I used my National ID still didn't work and I have used my International passport still to no avail. I tried complaining via the live chat on the app and this is what I'm getting as feedback ""Your identity verification was unsuccessful. The reason is: Unable to read your ID. Please upload a new clear, visible photo of the original ID. Please note, over exposure or reflection will also lead to failure.
Please follow the prompts on the page to re-authenticate."" Please look into it cause this is frustrating.",3,very_bad
2021-05-02 16:20:18,"For the past 3 days I have been trying to verify my account all I get is “Personal verification declined” the reason you gave was that my document is not original and clear. I used the original copy of my National ID which contains my National Identity Number (NIN) which can produce all my details. I scanned the National ID and summited it was declined, I took a clear picture of it and submitted it was declined as well. I made the same complain on your app the response I got was that I shouldn’t use professional passport photograph but selfie which is not even related to my complain. I followed the instruction given and my verification was still decline. For now I think your app is just occupying space on my phone.",1,bad
2020-11-25 15:33:53,"Hi Binance, i’ve been trading on the platform for a while now. Please, i want you guys to help me rectify my wrong deposit issue. 

I made a deposit on XRP coin to my other account but i miss a tag number while i was filling it and the transfer went successfully but i’m yet to be credited due to that wrong transfer issue. I’ve also submitted the necessary documents for that transaction to binance support team but i’m still yet to hear from them.

Please, help me rectify it.",5,very_bad
2019-11-27 19:06:59,"Hi nice work guys, lovely app.. it’s been an amazing experience so far.
When my phone goes on to night mode, the widget shows real time market prices yeah?
These markets prices fonts are black and the background (due to night mode) is black as well.
I suggest the price fonts on the widget should be able to change to white according to night mode. It’s hard to see as black fonts on dark mode black ground. I hope the developers get to see my review though and work on it. Cheers",5,good
2022-01-03 09:38:47,"App automatically logs out or keeps me from accessing my account for days and hours, and gives an error message when it does this which is too frequent for comfort, and one can’t even reach or talk to their helpdesk or team to rectify it because I’m locked out of my own account without consent and the only people who can rectify it are inaccessible. It’s really bad same thing happened yesterday now im even scared to log in because it may do same thing again",4,very_bad
2021-04-14 18:11:17,"Hi binance, I’m a newbie trying to get into crypto fully. I’ve been trying to do the necessary registration but my account haven’t been verified yet of which I uploaded the right ID card which was given to me,, it was rejected because it’s in a photocopy form, but it was actually what was issued to me by my country. I also uploaded a passport it was rejected. Please, I need  my account to be verified so as for me to start trading",5,very_bad
