date,review,rating,isEdited,userName,title
2021-12-04 17:55:29," ‍This app and the organization is just amazing! It’s extremely user friendly, has a great look to it, and awesome staking options and interest rates. The customer service is outstanding! I’ve only had one issue with this app/company since I’ve started using it in March 2021. The issue was actually in their DeFi wallet app. The customer service rep I worked with in the chat had my problem resolved same day. They walked me through every step and were just amazing. They are always quick to respond too.‍​‏ ‎‍",5,FALSE,ωEdwin Quitzon,A MUST HAVE APP FOR CRYPTO!!! ‌‎  ‌ ‎
2022-01-19 19:09:15,"Absolutely thoroughly disappointed with this app. I recently put £30 into my account with KuCoin in order to currency trade to find that it would let me take that original £30 back out of the app. I wanted to take it back out since I didn’t want to trade using KuCoin after reading the reviews and my mates telling me how terrible it is. This app also read your banking information and use it. I can’t even take the £30 out without putting more in so I put £30 more in and I still cannot take it out of the account. This needs to be resolved before I escalate the issue higher. Refund me please or help me resolve this issue. I’ve tried to withdraw it using the withdraw button and it doesn’t work at all because I haven’t traded anything but I don’t want to because I now use Coinbase.

Please please avoid this app at all costs, KuCoin you need to resolve my issue urgently as I’ve been reporting this for along period of time",1,FALSE,rugby man 03,Terrible
2022-10-01 12:20:25,"Okay there is Binance and then there is KuCoin..two best platforms so far I’ve been well acquainted with and while Binance has a very easy to use trade chart KuCoin is also up there and the best of it is cheaper gas fees and awesome margins trade offers…I’ve made $500+ first time margin trading and I’m only getting started 🤑🤑. If KuCoin’s trading charts (lags a bit) can match Binance, user friendly rating would be insane…just saying 😎 either way I’m very happy with the app and excited to keep exploring all the features.",5,FALSE,Smoothcocobango,By Far Best Crypto Trading App
2022-09-23 23:14:33,"Customer service is very bad and lies to me about rewards that I never received. 
Advertise promotion to new users for 100% fixed deposit after 7 days and I did not get anything and when reported, they said it is in my margin but when check again still nothing. 
System of customer service is very poor and once you leave the chat , you lose everything and have to restart again and explain the same thing over and over again and in the end, I can’t be bothered wasting time like this. 
I withdraw my money and the fee is very high compared to other wallets and crypto apps. Not recommend as there are better out there with better service and cheaper fees and reliable customer service.",1,FALSE,AcbarG,Misleading and high fees
2021-12-16 18:06:56,"   This exchange is one of the best in overall customer service, you get to chat with live humans not bots in minutes and they are very good at helping with any issues. You can also easily move your coins w low to no fees and if you need it back into fiat it only takes a few days vs weeks with some of the others. I’m a big fan and I highly recommend them over most all the other big exchanges. I’ve tried them all!!‍​  ​",5,FALSE,D*ewitt Von Jr.,‎  A winner!!
2021-12-07 18:22:27,"   This exchange is one of the best in overall customer service, you get to chat with live humans not bots in minutes and they are very good at helping with any issues. You can also easily move your coins w low to no fees and if you need it back into fiat it only takes a few days vs weeks with some of the others. I’m a big fan and I highly recommend them over most all the other big exchanges. I’ve tried them all!!‍​  ​",5,FALSE,Deboraいh Schulist,‎  A winner!!
2021-12-10 19:49:59,"‍ ‎）I’ve used this app for more than nine months I make deposits, purchases and withdrawls several times a week with relative ease and few errors. Yes there are fees but there are fees in any crypto applications. 

The amount of the fees depends on the type of coin, the time of day that you make the transaction and the total amount of the transaction; this is the world of crypto currency. It can also be Influenced by the amount of traffic on the ne      ‎  ",5,FALSE,Delfin︾a Rodriguez,"  ‌Excellent App, keep up the good work!        ‎ "
2021-12-13 19:06:30," ‌）Little bit of history for everybody, do you research, be part of the revolution in crypto, and ED centralized and smart about every step you take be careful for the centralized apps as they will monitor you tax you see you death as any other bank does. On top of that they will give you bad exchange rates and penny pinch you to death.  

But with all that it’s worth it to be a part of the beginning of a new era.   ‎ ​ ‏",5,FALSE,Fl〖orine Mertz,‍  Make sure you use a decentralized app - This is not it   ‎​
2021-11-30 18:55:28,My crypto may be going up and down these days but what certain is I making interest on most of it! With Magic I  even get 10%! Bitcoin is 4.5% so I’m making money no matter what! And still saving my money. I was going to change wallets until I realized I could gain interest on this one so why bother? Anyway I found it’s a good tool for buying and selling crypto and saving so wlll you! ‎‎‌,5,FALSE,︶Dr. Stephon Pfeffer,‎Savings
2022-09-29 11:25:21,I’ve used many exchanges and was apprehensive to try this but had absolutely no issues what so ever transferring to and from the exchange. Great incentives and giveaways too and also really great trading bots built into the app. Give it a try it will probably end up being my No1 exchange due to the huge variety of coins and best selection of new coins to going ICO.,5,FALSE,xx6lagger,Don’t believe the 1 stars
2021-12-12 19:00:48," ‌ I came akucoinss this app completely by accident. I almost feel like I made a Christopher Columbus type mistake - I’ve discovered the new world for myself. I am not the first to arrive at kucoin, but I believe it will change my life and my generations to come. I love the fact that they have different cards I can get to place my crypto on. Game changer.    ‏​",5,FALSE,Emerson Veu·m,‎‌A-mazing ‎
2021-11-18 07:58:13,"I am uninstalling this app having used it for pretty much a year now. I have always found the exchange to work well, but for almost the whole period Kucoin has been copying my clipboard every time I open the app. This morning it had some rather sensitive information on my clipboard, so I am having to reset security on a host of other accounts now. This is an issue that they have been aware of for almost a year and have chosen not to fix – contrary to one of the other prominent reviews, the update I installed today did NOT fix the issue. Closing my account now.",1,FALSE,MLBarnes,Security concerns
2021-03-20 13:35:51,"Bunch of scammers, they withhold payment when it benefits them, delaying sending fees for as long as possible. no customer support, online chat doesn’t work, three times spent more than 2 hours waiting to be next in line, twice the chat just ended and once got put through to a guy who could give no details of when I’m likely to receive my crypto although they take payment straight away. Sending service ticket doesn’t work, never received a response. They pretend that it’s another company that’s responsible for the delay and they need to confirm the transaction has gone through",1,FALSE,albiooooooooo,Don’t trust
2022-05-08 08:45:17,"Used Kucoin since 2018, never had issues with withdrawal even so clearly a user error with that review. Will say when on low tf chart view it seems to zoom on 2 bars enlarging them to cover the whole chart. Also it lags on display price to the book book price, stop adding to it and make it work correctly and quickly would improve usability.",3,FALSE,Jrnc99,Few slight bugs to correct but no major problems.
2021-11-28 19:00:41," ‍ Hi, we here really need the buy/sell limit option. Please add this option to your app. I am pretty sure millions of users will be interested in using the app if this feature will be added. This app has grown so much and will continue do so with such upgrade. ‌‍ ",5,FALSE,Barbara Ha﹃nsen,‌‌ Buy/Sell Limit‌
2021-11-20 16:33:32, ‌‎The app is easy to use and has a lot of potential but has its short comings. Most of those are Quality of life user interface issues that have been slowly rolling out. Functional lily it’s great and has a lot to offer.     ‍,5,FALSE,Andreaneヽ Hettinger," ‌ Easy to use, a lot of POTENTIAL.  ​  "
2021-12-02 21:07:53,"   THE APP IS DOWN!!! WHYY??? I always recommend this app to everyone who asks me what apps to use or to people on social media asking which app to use. It’s just so easy to use and they have a wide variety of crypto coins to invest in. If you are considering this app, download it! You will be happy that you did.   ‏ ‍",5,FALSE,Dr. Lora Bartoゞn,‏ Best crypto app ‎
