date,review,rating,isEdited,title,userName
2021-12-04 17:55:29," ‍This app and the organization is just amazing! It’s extremely user friendly, has a great look to it, and awesome staking options and interest rates. The customer service is outstanding! I’ve only had one issue with this app/company since I’ve started using it in March 2021. The issue was actually in their DeFi wallet app. The customer service rep I worked with in the chat had my problem resolved same day. They walked me through every step and were just amazing. They are always quick to respond too.‍​‏ ‎‍",5,False,  A MUST HAVE APP FOR CRYPTO!!! ‌‎  ‌ ‎ ,ωEdwin Quitzon
2022-01-19 19:09:15,"Absolutely thoroughly disappointed with this app. I recently put £30 into my account with KuCoin in order to currency trade to find that it would let me take that original £30 back out of the app. I wanted to take it back out since I didn’t want to trade using KuCoin after reading the reviews and my mates telling me how terrible it is. This app also read your banking information and use it. I can’t even take the £30 out without putting more in so I put £30 more in and I still cannot take it out of the account. This needs to be resolved before I escalate the issue higher. Refund me please or help me resolve this issue. I’ve tried to withdraw it using the withdraw button and it doesn’t work at all because I haven’t traded anything but I don’t want to because I now use Coinbase.

Please please avoid this app at all costs, KuCoin you need to resolve my issue urgently as I’ve been reporting this for along period of time",1,False,Terrible,rugby man 03
2022-10-01 12:20:25,"Okay there is Binance and then there is KuCoin..two best platforms so far I’ve been well acquainted with and while Binance has a very easy to use trade chart KuCoin is also up there and the best of it is cheaper gas fees and awesome margins trade offers…I’ve made $500+ first time margin trading and I’m only getting started 🤑🤑. If KuCoin’s trading charts (lags a bit) can match Binance, user friendly rating would be insane…just saying 😎 either way I’m very happy with the app and excited to keep exploring all the features.",5,False,By Far Best Crypto Trading App,Smoothcocobango
2022-09-23 23:14:33,"Customer service is very bad and lies to me about rewards that I never received. 
Advertise promotion to new users for 100% fixed deposit after 7 days and I did not get anything and when reported, they said it is in my margin but when check again still nothing. 
System of customer service is very poor and once you leave the chat , you lose everything and have to restart again and explain the same thing over and over again and in the end, I can’t be bothered wasting time like this. 
I withdraw my money and the fee is very high compared to other wallets and crypto apps. Not recommend as there are better out there with better service and cheaper fees and reliable customer service.",1,False,Misleading and high fees,AcbarG
2021-12-16 18:06:56,"   This exchange is one of the best in overall customer service, you get to chat with live humans not bots in minutes and they are very good at helping with any issues. You can also easily move your coins w low to no fees and if you need it back into fiat it only takes a few days vs weeks with some of the others. I’m a big fan and I highly recommend them over most all the other big exchanges. I’ve tried them all!!‍​  ​",5,False,‎  A winner!!   ,D*ewitt Von Jr.
2021-12-07 18:22:27,"   This exchange is one of the best in overall customer service, you get to chat with live humans not bots in minutes and they are very good at helping with any issues. You can also easily move your coins w low to no fees and if you need it back into fiat it only takes a few days vs weeks with some of the others. I’m a big fan and I highly recommend them over most all the other big exchanges. I’ve tried them all!!‍​  ​",5,False,‎  A winner!!   ,Deboraいh Schulist
2021-12-10 19:49:59,"‍ ‎）I’ve used this app for more than nine months I make deposits, purchases and withdrawls several times a week with relative ease and few errors. Yes there are fees but there are fees in any crypto applications. 

The amount of the fees depends on the type of coin, the time of day that you make the transaction and the total amount of the transaction; this is the world of crypto currency. It can also be Influenced by the amount of traffic on the ne      ‎  ",5,False,"  ‌Excellent App, keep up the good work!        ‎ ",Delfin︾a Rodriguez
2021-12-13 19:06:30," ‌）Little bit of history for everybody, do you research, be part of the revolution in crypto, and ED centralized and smart about every step you take be careful for the centralized apps as they will monitor you tax you see you death as any other bank does. On top of that they will give you bad exchange rates and penny pinch you to death.  

But with all that it’s worth it to be a part of the beginning of a new era.   ‎ ​ ‏",5,False,‍  Make sure you use a decentralized app - This is not it   ‎​  ,Fl〖orine Mertz
2021-11-30 18:55:28,  My crypto may be going up and down these days but what certain is I making interest on most of it! With Magic I  even get 10%! Bitcoin is 4.5% so I’m making money no matter what! And still saving my money. I was going to change wallets until I realized I could gain interest on this one so why bother? Anyway I found it’s a good tool for buying and selling crypto and saving so wlll you! ‎‎‌,5,False, ‎Savings   ,︶Dr. Stephon Pfeffer
2022-09-29 11:25:21,I’ve used many exchanges and was apprehensive to try this but had absolutely no issues what so ever transferring to and from the exchange. Great incentives and giveaways too and also really great trading bots built into the app. Give it a try it will probably end up being my No1 exchange due to the huge variety of coins and best selection of new coins to going ICO.,5,False,Don’t believe the 1 stars,xx6lagger
