timestamp,reviews
2022-01-21 04:04:26,"Surely my favorite app. So far so good, be nice if fees were less though. I haven't had any issues with the exchange, but I'm not a trader right now, I traded in so much coins, so I can't comment on it as a trading platform for that. The fees do seem pretty high, especially when buying low priced coins. If they could lower the fees it would a lot on those. Being able to set limit orders and track gain or loss would be nice. Gain and loss is even on more smooth. Overall satisfied with that."
2024-02-09 23:45:34,"Absolutely awful experience so far. The face validation kept telling me my nose was covered (it was not), the add a credit card validation keeps telling me my information is incorrect (it's not, but maybe something about the really weird way they want it added is incompatible with my address? I don't know. I tried two credit cards). My problems are completely different than the reviews below mine too which should tell you this app has a whole host of potential glitches! Still have no crypto. :("
2024-03-06 23:21:51,"The app is good, however it needs some improvements, such as, in the notifications, you should be able to send notification of tokens that the user hold instead of just other tokens that the user dont even hold, just add the tokens the user hold in the notifications too. Improve the performance of the app, currently for mobile devices the app is way slower than the web version for PC, one example is how long the ads that show after the welcome screen, stays even after the time has already expire"
2024-03-30 19:41:47,"The app is good, but the service really sucks period i've been waiting for over three and a half weeks for them to reset a pin code. During this time, I can not trade and can not transfer. Cannot even withdraw my funds because of an additional pin code that they added. And I'm at their mercy waiting for 3 and a 1/2 weeks for them to reset it so that I continue processing,l. DO NOT USE THIS APP. Do not use this service."
2024-04-01 06:18:33,Horrible app. Too much stuff happening in the app. Cannot access the account via web browser. It always firces you to download load the app. The app is a utter mess. Purchases can be done through specific trading coins. Can't buy it because app is unable to fulfill the verification for the Legend Trading. Truly legendary. They fail at doing the basic thing. They ruined it.
2024-04-09 12:33:47,"This app is the most frustrating thing l have ever seen within crypto space, l won't even advise my enemies to use them, Downloaded this useless app today, have been trying to convert my token,but am aren't allowed to select the token l want to convert to, l only have usdt and BTC on the convert space which l have been trying to change but wasn't allowed to, trying reaching out to their support, but couldn't see anyone to chat with, very frustrating people."
2024-04-06 21:46:41,"1 star is even over rating this app, lost access to my account, created a ticket, submitted every needed information they required to set a new email address, 7 weeks later, no answer and I'm the one chasing for an information. I don't recommend this app. You can trade elsewhere. This is the poorest service center I've ever seen all business types included. Cripto platforms shouldn't have help centers with no SLAs. We are talking about trades happening in milliseconds. Please."
2024-03-31 00:44:27,"Dear KC team, I'm using app since long time , but now values don't update timely, future contract don't show or even app don't load data often when I find any coin by typing, and also takes more time to load even it exists in memory. Also add a sound alert option to check/mark for total balance in assets. Please resolve these issues."
2024-04-01 15:53:34,"I was attracted to join kucoin for trading and kucard service. As an experienced trader I was expecting much more from Kucoin. Unfortunately I was met with a barrage of inconveniences right from the start...with the verification scanner not working properly. Pretty annoying when you are busy and you have limited time. Suport is hard to reach, they reply after an hour when you are not watching your phone anymore and they hit and run: sent me a pretty automatic looking meesage then dissapeared."
2024-04-16 05:05:35,"I don't recommend it at all. This exchange is a fraud in the true sense. I transferred my tokens from wallet to here but didn't get my tokens here. I contacted them, but they said you paid wrong, and we're unable to refund you. In fact, I transferred tokens to the exact deposit address they given and I provided them with details, yet they didn't do anything for funds recovery."
2024-04-08 13:11:20,"Terrible experience so far. I have been trying to retrieve my trading password to no avail. The camera identification doesn't work, online customer chats never respond. Emails don't get responded to and when they do, they give you false hope of a speedy solution which never comes. Now my funds are stich and can't withdraw. It looks like the trading password was invented to frustrate customers because other exchange apps don't need them."
