timestamp,reviews,sentiment
2023-05-19 06:20:25,做好個人的証件認証後，在依系統要求脫帽眼鏡下，做臉部驗証時，為什麼系統呈現在一個似乎不穩定狀態，迴圈一直前後來回的跑，為什麼會這樣？,neutral
2023-04-13 16:09:00,总体感觉相对较好的交易所了，邀请码：13837288减免40%交易手续费用。注册时填写。相对来说比欧易好一些，交易的山寨币很多，合约也非常棒！！,very_good
2023-05-19 09:52:03,越来越符合国人的交易习惯，用了好几年感觉非常棒。新用户填我的邀请码13837288。返还40%交易手续费用，注册时候一定要填写。各位加油！,very_good
2023-05-12 06:31:09,闪兑的价格失真得离谱，某个币直接在现货交易可以买16300个币，在闪兑只能换15800个，不知道是币安又一割韭菜产品还是因为某些原因价格没及时更新。更可笑的是还声称闪兑没有手续费而且更方便，但其实用过的人都知道，通过闪兑买的币比你直接到现货交易买到手的币会更少,very_bad
2023-04-18 01:58:49,能不能弄个功能同步一下几个系统客户端之间的k线保存啊，换个设备k线划的线就全无，电脑端和手机端的划线应该要能同步啊。,very_bad
2023-04-08 00:13:08,很垃圾注册时遇到困难，验证码不是30分钟有效吗？可注册填写验证码有时间限制，等打开邮箱查验证码在添写时显示邮箱验证码不正确。,very_bad
2023-02-10 16:12:27,我的手机打开夜间模式，经常出现底部导航栏底色变白，出现这种情况还有k线图的背景图。这个情况已经出现两个版本了，希望开发者可以修复它。,bad
2023-04-10 16:47:54,币安是功能齐全界面简洁的加密货币交易软件，支持多种数字货币交易，提供实时的行情数据和专业的分析工具，让用户时时掌握市场动态，非常不错！,very_good
2023-04-15 00:47:53,界面流畅，非常好用，还经常送合约赠金，使用我的优惠码：CZK7J2HQ，可获得40%手续费返还，而且可以拿到500U的体验金，不用白不用！CZK7J2HQ,very_good
2023-06-10 12:09:22,新加入币安的朋友大家好，注册时填写我的邀请码：13837288。返还40%交易手续费用，币安交易所体验非常棒！欢迎大家加入！,very_good
2023-04-24 12:10:16,总体来说不愧是宇宙所，使用体验我个人感觉还是比其它交易所好，界面清晰简洁，币种丰富，有新注册的可以在注册时候填写推荐码YKALVESV，可以减免40%手续费,very_good
2023-06-02 10:59:17,一段时间没有登陆，提示验证身份， 验证若干次都不能通过,very_bad
2023-02-01 03:43:33,还行吧。虽然日常bug会有，有几个版本甚至和gboard冲突无法输入账号。。。当然也还可以了，大多数页面都有提醒和教程，小白也不见得不能用。当然注册时别忘了填邀请码，随便一搜就有可以省不少手续费(手续费率优惠政策。不介意可以直接填下放邀请马: CPA_00VTRHUSF7 。祝大家都能赚钱。,very_bad
2023-03-31 05:23:02,用了一个多月总体来说还是非常不错的，自选里面可以分组，就像股票一样那就更好了，有时候不知道是网络的原因还是VP的原因，登录比较慢。其他都挺好。,good
2023-05-31 11:52:04,总体上是相对较好的交易所了。 邀请id～～RG1GA0J0，返佣，用我的邀请推荐操作。 我觉得最应该修改的地方～～新币上市要提示上市时间，新币上市可以按照上市时间查询。ok提示你们为什么不提示？另外涨跌幅要有中国时间表，因为有很多中国用户。 你们币安要是雇佣我，我天天诚心为你们服务。网络雇佣就行，人最好不用过去，我有电脑手机，可以翻墙。,good
